,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,parlay_strategy,fstar_net,choice_decimal_odds
8,matt schnell,0.04007964215756529,0.07092078950781938,1.6451612903225803,1.4760508308895401,1,0.6509518524459296,0.44364455607401193,0.09848647168667846,2025-04-26,1.0,top_ev,0.04007964215756529,1.6451612903225803
2,david onama,0.04007964215756529,0.02574016906659171,1.5050505050505052,1.4760508308895401,0,0.6815320586415609,0.44364455607401193,0.09848647168667846,2025-04-26,0.0,top_ev,0.04007964215756529,1.5050505050505052
5,yana santos,0.07545148954008951,0.2047329145289567,2.35,2.3944444444444444,1,0.5126523040548752,0.3860649870965966,0.31047615064455836,2025-05-03,1.0,top_ev,0.07545148954008951,2.35
9,montel jackson,0.07545148954008951,0.08777317763991421,1.4444444444444444,2.3944444444444444,1,0.7530737383660945,0.3860649870965966,0.31047615064455836,2025-05-03,1.0,top_ev,0.07545148954008951,1.4444444444444444
5,valentina shevchenko,0.07563244182722785,0.17074195879078558,2.2,2.3000000000000003,1,0.5321554358139934,0.3918349059979239,0.29305518979314904,2025-05-10,1.0,top_ev,0.07563244182722785,2.2
1,mike malott,0.07563244182722785,0.10447496998287831,1.5,2.3000000000000003,1,0.7363166466552522,0.3918349059979239,0.29305518979314904,2025-05-10,1.0,top_ev,0.07563244182722785,1.5
5,luana santos,0.09543050875817824,0.11186390626623655,1.5649717514124295,0.8944394885518883,1,0.7104689942567648,0.5824381694670989,0.10339386787834881,2025-05-17,1.0,top_ev,0.09543050875817824,1.5649717514124295
1,michael morales,0.09543050875817824,-0.007617873320783369,1.2105263157894737,0.8944394885518883,0,0.8197939307350051,0.5824381694670989,0.10339386787834881,2025-05-17,0.0,top_ev,0.09543050875817824,1.2105263157894737
1,jafel filho,0.025077576035561634,0.08219051683099443,2.04,-1.0,1,0.5304855474661737,0.3300026519462221,0.11035178008087287,2025-05-31,0.0,top_ev,-0.025077576035561634,2.04
4,mateusz gamrot,0.025077576035561634,0.02602246352365356,1.6493506493506491,-1.0,1,0.6220766117426877,0.3300026519462221,0.11035178008087287,2025-05-31,1.0,top_ev,-0.025077576035561634,1.6493506493506491
4,merab dvalishvili,0.10823515739381029,0.1708337656113949,1.4444444444444444,-1.0,1,0.8105772223463503,0.5344240254578971,0.2455322038449559,2025-06-07,1.0,top_ev,-0.10823515739381029,1.4444444444444444
3,serghei spivac,0.10823515739381029,0.06379935429565808,1.6134969325153374,-1.0,1,0.6593129077954079,0.5344240254578971,0.2455322038449559,2025-06-07,0.0,top_ev,-0.10823515739381029,1.6134969325153374
6,michael chiesa,0.09071438386998605,0.08653014839144091,1.3076923076923077,1.1406173444390002,1,0.8308759958287489,0.5310226844297338,0.1367163685808459,2025-06-14,1.0,top_ev,0.09071438386998605,1.3076923076923077
4,edmen shahbazyan,0.09071438386998605,0.046189441005114684,1.6369426751592355,1.1406173444390002,1,0.6391118375011791,0.5310226844297338,0.1367163685808459,2025-06-14,1.0,top_ev,0.09071438386998605,1.6369426751592355
6,hamdy abdelwahab,0.06265735919749796,0.11135939222238928,1.6134969325153374,-1.0,1,0.6887892811112146,0.40697049423253734,0.1819621593232097,2025-06-21,0.0,top_ev,-0.06265735919749796,1.6134969325153374
2,ignacio bahamondes,0.06265735919749796,0.06352829480267025,1.8,-1.0,0,0.5908490526681501,0.40697049423253734,0.1819621593232097,2025-06-21,1.0,top_ev,-0.06265735919749796,1.8
3,joshua van,0.06180291335634922,0.35625758538670493,2.05,-1.0,0,0.6615890660422952,0.3476222527202649,0.5392713350453331,2025-06-28,0.0,top_ev,-0.06180291335634922,2.05
